EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
14,35,No,Travel_Rarely,Research & Development,16,3,Medical,1,1,Male,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3
15,29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,4,Female,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8
16,31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,1,Male,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3
18,34,No,Travel_Rarely,Research & Development,19,2,Medical,1,2,Male,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2
19,28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,1,3,Male,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3
20,29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,2,Female,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8
21,32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,1,Male,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,22,No,Non-Travel,Research & Development,16,2,Medical,1,4,Male,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0
23,53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,1,Female,Manager,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7
24,38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,4,Male,Research Scientist,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2
26,24,No,Non-Travel,Research & Development,11,2,Other,1,1,Female,Manufacturing Director,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3
27,36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,1,3,Male,Sales Representative,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3
28,34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,1,Female,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11
30,21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,3,Male,Research Scientist,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0
31,34,Yes,Travel_Rarely,Research & Development,6,1,Medical,1,2,Male,Research Scientist,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3
32,53,No,Travel_Rarely,Research & Development,5,3,Other,1,3,Female,Manager,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8
33,32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,1,2,Female,Research Scientist,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7
35,42,No,Travel_Rarely,Sales,8,4,Marketing,1,3,Male,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2
36,44,No,Travel_Rarely,Research & Development,7,4,Medical,1,1,Female,Healthcare Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17
38,46,No,Travel_Rarely,Sales,2,4,Marketing,1,2,Female,Manager,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1
39,33,No,Travel_Rarely,Research & Development,2,3,Medical,1,3,Male,Laboratory Technician,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0
40,44,No,Travel_Rarely,Research & Development,10,4,Other,1,4,Male,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3
41,30,No,Travel_Rarely,Research & Development,9,2,Medical,1,4,Male,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8
42,39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,1,4,Male,Sales Representative,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0
45,24,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,2,Male,Research Scientist,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0
46,43,No,Travel_Rarely,Research & Development,2,2,Medical,1,4,Female,Research Scientist,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4
47,50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,1,Male,Sales Representative,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2
49,35,No,Travel_Rarely,Sales,2,3,Marketing,1,4,Female,Sales Representative,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2
51,36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,2,Female,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0
52,33,No,Travel_Frequently,Sales,1,3,Life Sciences,1,3,Female,Sales Executive,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3
53,35,No,Travel_Rarely,Research & Development,4,2,Other,1,3,Male,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0
54,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,Female,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0
55,26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,1,Male,Laboratory Technician,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1
56,27,No,Travel_Frequently,Sales,8,3,Life Sciences,1,4,Male,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7
57,30,No,Travel_Frequently,Research & Development,1,2,Medical,1,3,Female,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7
58,41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,2,Female,Research Director,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8
60,34,No,Non-Travel,Sales,23,4,Marketing,1,2,Male,Sales Executive,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7
61,37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,2,Male,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0
62,46,No,Travel_Frequently,Sales,5,4,Marketing,1,1,Male,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8
63,35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,4,Male,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1
64,48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1,Male,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0
65,28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,3,Male,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2
68,44,No,Travel_Rarely,Sales,1,5,Marketing,1,2,Female,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3
70,35,No,Non-Travel,Research & Development,11,2,Medical,1,3,Male,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3
72,26,No,Travel_Rarely,Sales,23,3,Marketing,1,3,Female,Sales Executive,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0
73,33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,1,Female,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12
74,35,No,Travel_Frequently,Sales,18,5,Life Sciences,1,2,Male,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8
75,35,No,Travel_Rarely,Research & Development,23,4,Medical,1,3,Female,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2
76,31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,4,Male,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7
77,37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1,Male,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7
78,32,No,Travel_Rarely,Research & Development,1,3,Medical,1,1,Male,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8
79,38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,1,4,Female,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9
80,50,No,Travel_Rarely,Research & Development,7,2,Medical,1,2,Female,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8
81,59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,1,Female,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9
83,36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,3,Female,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8
84,55,No,Travel_Rarely,Research & Development,8,3,Medical,1,4,Female,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2
85,36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,1,2,Male,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3
86,45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,2,Male,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0
88,35,No,Travel_Frequently,Research & Development,1,3,Medical,1,2,Male,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2
90,36,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,4,Male,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0
91,59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,1,Female,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3
94,29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Male,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4
95,31,No,Travel_Rarely,Research & Development,1,4,Medical,1,3,Male,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0
96,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,2,Male,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9
97,36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,2,Female,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0
98,31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,3,Female,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8
100,35,No,Travel_Rarely,Sales,1,4,Marketing,1,3,Male,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8
101,45,No,Travel_Rarely,Research & Development,6,4,Other,1,4,Male,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0
102,37,No,Travel_Rarely,Research & Development,7,4,Medical,1,1,Male,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2
103,46,No,Travel_Rarely,Human Resources,5,2,Medical,1,2,Male,Human Resources,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2
104,30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,4,Male,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0
105,35,No,Travel_Rarely,Research & Development,1,3,Medical,1,2,Male,Research Scientist,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4
106,55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,1,Male,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0
107,38,No,Non-Travel,Research & Development,6,3,Medical,1,2,Female,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9
110,34,No,Travel_Rarely,Research & Development,1,2,Medical,1,1,Male,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3
112,56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,4,Male,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2
113,23,No,Travel_Rarely,Sales,2,1,Technical Degree,1,3,Male,Sales Representative,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0
116,51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,4,Male,Laboratory Technician,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3
117,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Male,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8
118,46,Yes,Travel_Rarely,Sales,9,2,Medical,1,3,Male,Sales Executive,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7
119,40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,3,Male,Healthcare Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11
120,51,No,Travel_Rarely,Sales,21,4,Marketing,1,3,Male,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0
121,30,No,Travel_Rarely,Sales,4,2,Medical,1,3,Female,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7
124,46,No,Travel_Frequently,Research & Development,1,3,Medical,1,3,Male,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5
125,32,No,Travel_Rarely,Sales,6,4,Medical,1,2,Male,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7
126,54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1,Female,Research Director,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3
128,24,No,Travel_Rarely,Sales,3,2,Other,1,1,Female,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2
129,28,No,Non-Travel,Sales,4,3,Medical,1,2,Male,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4
131,58,No,Travel_Rarely,Sales,10,4,Medical,1,4,Male,Sales Executive,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8
132,44,No,Non-Travel,Research & Development,23,3,Medical,1,2,Male,Laboratory Technician,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2
133,37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,3,Male,Human Resources,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2
134,32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,4,Male,Research Scientist,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0
137,20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,4,Female,Laboratory Technician,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0
138,34,No,Travel_Rarely,Research & Development,6,4,Other,1,1,Female,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10
139,37,No,Non-Travel,Research & Development,2,2,Life Sciences,1,3,Male,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0
140,59,No,Non-Travel,Human Resources,2,4,Human Resources,1,3,Female,Manager,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2
141,50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,1,Female,Research Director,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7
142,25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,3,Male,Sales Executive,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3
143,25,No,Travel_Rarely,Research & Development,7,1,Medical,1,4,Male,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1
144,22,No,Travel_Rarely,Research & Development,15,3,Medical,1,2,Female,Laboratory Technician,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0
145,51,No,Travel_Frequently,Research & Development,1,4,Medical,1,1,Female,Healthcare Representative,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8
147,34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1,Male,Laboratory Technician,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6
148,54,No,Non-Travel,Human Resources,26,3,Human Resources,1,4,Female,Manager,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4
150,24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,2,Male,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2
151,34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,3,Female,Research Scientist,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0
152,37,No,Travel_Rarely,Sales,3,3,Life Sciences,1,3,Male,Sales Executive,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3
153,34,No,Travel_Rarely,Research & Development,5,3,Medical,1,3,Female,Manager,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8
154,36,No,Travel_Frequently,Sales,11,2,Technical Degree,1,2,Female,Sales Executive,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8
155,36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,1,Female,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,1,7,2,3,1,0,0,0
158,43,No,Travel_Frequently,Sales,26,2,Life Sciences,1,3,Male,Manager,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12
159,30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,1,Male,Research Scientist,3,Divorced,2613,1,No,25,4,3,3,10,2,2,10,7,0,9
160,33,No,Non-Travel,Sales,22,2,Marketing,1,3,Male,Sales Executive,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7
161,56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,1,2,Female,Research Scientist,2,Married,4963,9,Yes,18,3,1,3,7,2,3,5,4,4,3
162,51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,1,Male,Research Director,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15
163,31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,1,2,Male,Sales Executive,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7
164,26,No,Travel_Rarely,Research & Development,6,3,Other,1,3,Female,Research Scientist,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3
165,58,Yes,Travel_Rarely,Research & Development,23,4,Medical,1,4,Female,Healthcare Representative,4,Married,10312,1,No,12,3,4,1,40,3,2,40,10,15,6
167,19,Yes,Travel_Rarely,Sales,22,1,Marketing,1,4,Male,Sales Representative,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0
169,22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,3,Male,Laboratory Technician,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1
170,49,No,Travel_Rarely,Research & Development,20,4,Medical,1,3,Female,Manufacturing Director,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11
171,43,No,Travel_Frequently,Research & Development,28,3,Medical,1,2,Female,Research Scientist,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2
174,50,No,Travel_Frequently,Sales,12,3,Marketing,1,3,Female,Sales Executive,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1
175,31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,1,2,Female,Sales Executive,3,Married,4559,3,Yes,11,3,3,1,4,2,3,2,2,2,2
176,41,No,Travel_Rarely,Sales,9,1,Life Sciences,1,3,Male,Sales Executive,3,Divorced,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7
177,26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,1,3,Female,Human Resources,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7
178,36,No,Travel_Rarely,Research & Development,6,2,Medical,1,2,Male,Manufacturing Director,2,Divorced,4941,6,No,20,4,4,2,7,0,3,3,2,0,1
179,51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,1,Male,Manufacturing Director,4,Single,10650,2,No,15,3,4,0,18,2,3,4,2,0,3
182,39,No,Travel_Rarely,Sales,4,4,Life Sciences,1,4,Female,Sales Executive,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9
183,25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,1,Male,Sales Executive,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2
184,30,No,Travel_Rarely,Human Resources,9,3,Human Resources,1,3,Male,Human Resources,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7
190,32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,1,Female,Laboratory Technician,1,Single,4200,7,No,22,4,1,0,10,2,4,5,4,0,4
192,45,No,Travel_Rarely,Research & Development,29,3,Medical,1,3,Male,Research Scientist,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3
193,38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,1,4,Female,Research Scientist,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2
194,30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,1,Female,Research Scientist,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4
195,32,No,Travel_Frequently,Sales,9,2,Medical,1,4,Male,Sales Executive,4,Divorced,4668,0,No,17,3,4,3,9,2,4,8,7,0,7
197,30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,4,Female,Research Scientist,1,Divorced,3204,5,No,14,3,4,1,8,3,3,3,2,2,2
198,30,No,Travel_Rarely,Research & Development,2,1,Medical,1,2,Male,Laboratory Technician,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2
199,41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,4,Male,Manager,1,Divorced,17181,4,No,13,3,2,1,21,2,2,7,6,7,7
200,41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,3,Male,Laboratory Technician,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4
201,19,No,Travel_Rarely,Research & Development,3,1,Medical,1,2,Female,Laboratory Technician,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0
202,40,No,Travel_Frequently,Research & Development,26,3,Medical,1,2,Female,Research Scientist,2,Divorced,5605,1,No,11,3,1,1,20,2,3,20,7,2,13
204,35,No,Travel_Rarely,Sales,1,5,Marketing,1,3,Male,Sales Executive,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6
205,53,No,Travel_Rarely,Sales,6,2,Marketing,1,2,Male,Sales Representative,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5
206,45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,2,Male,Laboratory Technician,2,Divorced,2348,8,No,18,3,3,1,20,2,1,17,9,0,15
207,32,No,Travel_Frequently,Sales,8,3,Marketing,1,2,Female,Sales Executive,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7
208,29,No,Non-Travel,Research & Development,1,1,Technical Degree,1,4,Male,Manufacturing Director,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9
211,51,No,Travel_Rarely,Research & Development,7,4,Medical,1,2,Male,Manufacturing Director,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0
214,58,No,Travel_Rarely,Research & Development,9,3,Medical,1,2,Female,Research Scientist,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0
215,40,No,Travel_Rarely,Sales,4,4,Marketing,1,3,Male,Sales Executive,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11
216,34,No,Travel_Frequently,Sales,2,4,Marketing,1,3,Female,Sales Representative,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2
217,22,No,Travel_Rarely,Research & Development,19,1,Medical,1,3,Male,Research Scientist,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2
218,27,No,Non-Travel,Research & Development,9,3,Medical,1,4,Male,Research Scientist,2,Divorced,2024,6,No,18,3,4,1,6,1,1,2,2,2,2
221,28,No,Travel_Rarely,Research & Development,21,3,Medical,1,3,Male,Research Scientist,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2
223,57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,1,3,Male,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4
224,27,No,Non-Travel,Research & Development,3,3,Medical,1,3,Male,Research Scientist,3,Divorced,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1
226,50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,3,Female,Manager,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4
227,41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,1,Male,Research Scientist,3,Divorced,2451,4,No,12,3,1,1,13,2,3,9,8,1,8
228,30,No,Travel_Rarely,Sales,5,3,Life Sciences,1,2,Female,Sales Executive,4,Married,9419,2,No,12,3,3,1,12,2,3,10,9,7,4
230,38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,1,Female,Sales Executive,4,Single,8686,4,No,22,4,3,0,12,2,4,8,3,0,7
